Code,market_cap,price,gross_margin,ps_ratio,rd_intensity,rev_growth
003230,6283092511.111111,1498000.0,0.4185249012619715,4.908623404086363,,0.4485655487714267
090430,5385666624.962963,125800.0,0.7069895071199617,1.8714138429114338,,0.05747120260589284
047040,5198742560.7703705,3610.0,0.08830740018831253,0.6681800892963355,,-0.09823242961893237
021240,4875089346.666667,99100.0,0.6458404216017124,1.5269499437226477,,0.08663059729006196
326030,4756804814.814815,101900.0,0.9212907106179969,11.727045447257742,,0.5429960918778979
353200,4652511975.925926,28100.0,0.06898836889554118,7.040285164048269,,-0.019255267973878224
241560,4487483931.851851,54900.0,0.23580803429538924,1005.9895556883272,,-0.12261444848572442
004170,4337786829.62963,189400.0,0.6168129968551648,0.8912700711057923,,0.03355690033993451
009830,4220916717.3333335,26693.0,0.11181641780284148,0.4597568739394135,,-0.052338619706157656
000100,4118075962.814815,115700.0,0.3333926103272601,2.688570235076362,0.10869480797905409,0.1123235698549169
128940,3724677012.962963,391500.0,0.5463297460811332,3.362292657960068,,0.0030948760079238255
454910,3538690760.0,67500.0,0.2035093227780076,102.01234796753147,,-0.1170554108825292
011790,3446163224.0,94087.0,2.01448326932924,2.702379591143172,,0.15272413903690107
010060,2987237120.0,88800.0,0.09599377246406496,1.1693494383528196,,-0.04973786806420048
111770,2973791852.4444447,64600.0,0.2548013101404563,1.1412179351973806,,-0.024009625380768847
002380,2896124207.4074073,358500.0,0.24489850463982746,0.5871613123689149,,0.05888895341037544
004020,2792476612.037037,34550.0,0.06001682718611952,0.16231036449165342,,-0.10374857099287532
051900,2762152020.0,287500.0,0.5227355938914039,0.5474089401477251,,0.0010403458813555793
069960,2642101070.2222223,88000.0,0.5887393343381097,0.851758555011047,,-0.0047150690679330825
012510,2588789600.0,89900.0,0.4573183124022238,8.686514026878779,,0.1345105756793275
011780,2258568733.3333335,103600.0,0.08183856385076382,0.4261448185339767,,0.1316681513320449
097950,2194565781.3333335,232000.0,0.21782977165832176,0.10254521102708493,,-0.0006218298770935316
028670,2154117144.6518517,3900.0,0.11290629459945307,0.5634441609093047,,0.18349903760208136
012750,2074473643.4074075,83000.0,0.22813200130251288,0.9985025176184413,,0.07018016835153489
017800,2041491216.6666667,79800.0,0.20353725181367188,0.9551922337419243,,0.10883429660707435
161890,2002060234.4444444,79700.0,0.2850355977322535,1.1022474690850683,,0.13749193432588647
009970,1866309190.0,137200.0,0.3733407638096107,0.5851126502750303,,-0.01135124278463788
375500,1799970018.074074,41100.0,0.10167350135316583,0.2921171293028668,,0.040968115645288045
