Sym,Issuer Name,%,gross_margin,ps_ratio,market_cap,rd_intensity,rev_growth,sector
WGS,GeneDx Holdings Corp,0.3%,0.6977817648018267,10.153563957413036,3112575031.144966,0.15490132115478714,,Healthcare
NET,Cloudflare Inc,0.3%,0.7485763761482654,48.37671855025458,75149845897.52197,0.23857013190166276,,Technology
ADPT,Adaptive Biotechnologies Corp,0.3%,0.7411773301833946,11.118694532942861,2282612394.140505,0.35074405124333274,,Healthcare
SDGR,Schrodinger Inc/United States,0.2%,0.5059537222624144,8.759243720216446,1477106305.5149803,0.7812125668607754,,Healthcare
ABSI,Absci Corp,0.2%,,211.73392590122887,455227940.6876421,26.07953488372093,,Healthcare
QCOM,QUALCOMM Inc,0.2%,0.5530584087076499,5.395625682493376,175978331634.52148,0.20886095354898054,,Technology
ARCT,Arcturus Therapeutics Holdings,0.2%,,7.825710294846623,501941058.3114624,1.3678983473651387,,Healthcare
CDNA,CareDx Inc,0.2%,0.676783865536311,2.75390687070163,747462648.9389658,0.19203887716040513,,Healthcare
PRME,Prime Medicine Inc,0.2%,,263.28794477114906,998914462.4617395,33.19109119662625,,Healthcare
GENI,Genius Sports Limited,0.2%,0.1990918266731625,6.888994349369619,2955330352.919121,0.05271647789124764,,Communication Services
CERS,Cerus Corp,0.2%,0.5562601932848998,2.0546607035906117,304874664.52018213,0.3459314472105781,,Healthcare
SNPS,Synopsys Inc,0.2%,0.790995701857923,27.363645342632534,91504112116.69922,0.35265518601508433,,Technology
IBTA,Ibotta Inc,0.2%,0.7945387866683998,2.9728402893973125,754694154.38727,0.1844932109050945,,Technology
LUNR,Intuitive Machines Inc,0.1%,-0.0057866979197187226,7.569882978821933,1240128509.1225243,0.0055608457857212615,,Industrials
TDY,Teledyne Technologies Inc,0.1%,0.4271723923519353,6.1101744150869814,27514726408.578186,0.05331882480957562,,Technology
Z,Zillow Group Inc,0.1%,0.7459823742871955,9.667611791748687,18648823146.28322,0.23483670295489892,,Communication Services
MASS,908 Devices Inc,0.1%,0.49640621377231625,8.151035217221475,316398734.026886,0.31097199680552334,,Healthcare
KLAR,Klarna Group PLC,0.1%,0.6979810465595385,5.696908930735688,13826397974.895515,0.14750721054800164,,Financial Services
CAT,Caterpillar Inc,0.1%,0.3302583787353475,4.575592631690703,221714916561.2047,0.03273072478124484,,Industrials
INCY,Incyte Corp,0.1%,0.9309378393779233,4.57677663439856,16633869037.494568,0.3958775117921576,,Healthcare
ATAI,ATAI Life Sciences NV,0.1%,,420.74527772346914,1271912974.5580473,12.272576910353953,,Healthcare
INTU,Intuit Inc,0.1%,0.8197669400086318,16.271241721356837,188502335341.91895,0.130168321104877,,Technology
VRTX,Vertex Pharmaceuticals Inc,0.1%,0.8654795546627626,11.287501207425954,99457559388.99231,0.33318579551258043,,Healthcare
ICE,Intercontinental Exchange Inc,0.1%,0.5598020635923352,10.018647433302364,95157113321.50586,,,Financial Services
BILL,BILL Holdings Inc,0.0%,0.8084923419973674,4.742027291835795,5393140833.195892,0.22586601506893036,,Technology
REGN,Regeneron Pharmaceuticals Inc,0.0%,0.8550379591914787,5.639700124248976,58983367719.47034,0.40601992618514904,,Healthcare
KDK,Kodiak AI Inc,0.0%,,436.11829007885547,1196708587.9763794,13.048104956268222,,Technology
DDD,3D Systems Corp,0.0%,0.35018013234649553,1.3252841395532016,371910512.2303963,0.1891086745038788,,Technology
XMTR,Xometry Inc,0.0%,0.3915885827130119,5.624371677783051,2779750087.4257507,0.07021586984276647,,Industrials
HON,Honeywell International Inc,0.0%,0.37163550614788615,2.188875253925382,64976761912.77496,0.04695974397844029,,Industrials
LAB,Standard BioTools Inc,0.0%,0.5063865054602185,8.10416961953749,498698181.70785904,0.29280421216848673,,Healthcare
PTC,PTC Inc,0.0%,0.8467474787245102,11.162421947268657,24268199230.71289,0.1573880294264564,,Technology
PRLB,Proto Labs Inc,0.0%,0.44566275205857286,2.9866264704400063,1184597603.4765015,0.08190674526137447,,Industrials
ADSK,Autodesk Inc,0.0%,0.9060659599528857,19.92453264431903,67663712860.10742,0.23763250883392226,,Technology
XRAY,DENTSPLY SIRONA Inc,0.0%,0.5137918352335418,0.9177458630772752,2495351001.7071114,0.04045605001838912,,Healthcare
TSEM,Tower Semiconductor Ltd,0.0%,0.21870720082991532,7.200075923551408,8106551082.174683,0.05475273959097538,,Technology
TATT,TAT Technologies Ltd,0.0%,0.2462713243738639,4.336874006899224,570216531.301117,0.00674622188757311,,Industrials
URGN,UroGen Pharma Ltd,0.0%,0.8727189337187808,12.97112194606373,933285195.1412315,0.7337354588539423,,Healthcare
ALLT,Allot Ltd,0.0%,0.7097655082466103,6.960614808377288,512343013.5854187,0.25461239572860905,,Technology
WIX,Wix.com Ltd,0.0%,0.68336879372266,6.635201681628624,9745618349.934082,0.2956593079266736,,Technology
NYAX.TA,Nayax Ltd,0.0%,0.48913619879065695,2062.4148168012557,579495252810.0,0.08436573551760096,,Technology
TBLA,Taboola.com Ltd,0.0%,0.28346277085277655,0.7137675607995649,991944906.0375402,0.08009103920111159,,Communication Services
NEXN,Nexxen International Ltd,0.0%,0.8503497192021782,1.9996539862687404,528046628.5,0.16092006255940683,,Communication Services
RDWR,Radware Ltd,0.0%,0.8084388033293011,5.193349700465197,1150576239.4386635,0.2555879538519869,,Technology
KMDA.TA,Kamada Ltd,0.0%,0.43776052790502423,977.6329366209881,132744955400.271,0.07439130370741336,,Healthcare
MDWD,MediWound Ltd,0.0%,0.1971905645375033,15.308920522739614,231042228.52918625,0.6521335807050093,,Healthcare
ODD,Oddity Tech Ltd,0.0%,0.7321150843531907,5.445660815983762,3578441744.0776176,,,Consumer Defensive
MBLY,Mobileye Global Inc,0.0%,0.48480662983425415,7.935419974607017,11490488123.23096,0.5946132596685083,,Consumer Cyclical
PERI,Perion Network Ltd,0.0%,0.32717052420207143,1.2817933927220966,388106530.6219673,0.08579713591206933,,Communication Services
PLTK,Playtika Holding Corp,0.0%,0.7247423673312144,0.6879515163611208,1428600118.8755035,0.15270153134932102,,Communication Services
NNOX,Nano-X Imaging Ltd,0.0%,-0.9859170070952483,26.006955871608174,241916703.51769924,1.547839174371103,,Healthcare
GE,GE Aerospace,0.0%,0.32094033859432053,9.53893304802082,316091624412.26587,0.034191387271026344,,Industrials
VLN,Valens Semiconductor Ltd,0.0%,0.6313498106282457,3.5496451629223147,181819924.5352068,0.6167467103978759,,Technology
KALU,Kaiser Aluminum Corp,0.0%,0.13052373158756136,0.5020859584004829,1227098082.33078,0.0001227495908346972,,Basic Materials
ALGN,Align Technology Inc,0.0%,0.6786583530912971,3.0196290517012447,9020848887.939453,0.09602822250630397,,Healthcare
DD,DuPont de Nemours Inc,0.0%,0.3719934517063342,1.6969682711510539,13475625041.210518,0.04180833648155144,,Basic Materials
HXL,Hexcel Corp,0.0%,0.22372736346784544,3.53389058016274,4956634927.736259,0.0300156851561386,,Industrials
MMM,3M Co,0.0%,0.4198246080255116,4.320790784719282,81295678614.49329,0.0462397023651342,,Industrials
AVNT,Avient Corporation,0.0%,0.314450312049928,1.178034209185109,2944614309.2790985,,,Basic Materials
JBL,Jabil Inc,0.0%,0.09104477611940298,1.45023490754146,23319777313.266678,0.0006840796019900498,,Technology
KODK,Eastman Kodak Co,0.0%,0.21181001283697048,0.7932271954949003,617923985.2905273,0.03209242618741977,,Industrials
ATI,ATI Inc,0.0%,0.21511303990851244,3.240521270325899,11051149688.192413,,,Industrials
EMN,Eastman Chemical Co,0.0%,0.22215666027437675,1.0232351608931376,6936511155.69458,0.029060333382504796,,Basic Materials
