Code,market_cap,price,gross_margin,ps_ratio,per,pbr
090430,5463656970.296296,122000.0,0.7069895071199617,1.8985139629214145,,1.35824461228288
000880,5123575447.333333,82000.0,0.12441177915097372,0.12429867035011105,4.091746175183414,0.1501489012915039
021240,4995656072.444445,87000.0,0.6458404216017124,1.5647132219007347,11.9269778368184,
047040,4979591820.503704,3840.0,0.08830740018831253,0.6400132471245931,27.6815165054322,1.5943467449477382
326030,4878625425.925926,125200.0,0.9212907106179969,12.027372220907026,,9.552671302210646
241560,4515885728.888889,58000.0,0.2328513288155545,972.4276828133262,,1229.7759381348512
004170,4379765411.851851,247000.0,0.6168129968551648,0.8998952653422999,,0.8894501637169611
353200,4107095544.4444447,47350.0,0.06898836889554118,6.214948823022941,,6.337043206104298
000100,4094476673.6296296,112600.0,0.3333926103272601,2.6731629557922565,100.20299645575672,2.4935175447485043
128940,3933448718.148148,455000.0,0.5463297460811332,3.55075237382025,37.8132564842135,3.9460357483378483
009830,3921696376.888889,25373.0,0.11181641780284148,0.42716475768729817,,0.4746644567797045
454910,3625117400.0,78400.0,0.2035093227780076,104.50383000744405,,13.427195267928383
011790,3438815328.0,98129.0,2.01448326932924,2.6966175877505427,,
002380,2934314856.296296,419000.0,0.24489850463982746,0.5949040989056479,,0.5316682173289187
051900,2861988840.0,262000.0,0.5227355938914039,0.5671948054542694,18.950061052550545,
111770,2776851994.6666665,81800.0,0.2548013101404563,1.0656405884955673,12.727666013050545,0.9460901052851531
069960,2723568515.5555553,88700.0,0.5887393343381097,0.8780219687387153,,0.5799300991092227
004020,2713397628.3333335,31150.0,0.06001682718611952,0.1577139647892349,,0.18763280804847562
012510,2588789600.0,85600.0,0.4573183124022238,8.686514026878779,44.79054319910151,5.930288739112096
097950,2223559028.4444447,208500.0,0.22111368942452367,0.10224450159910575,8.296046772960166,0.24571287494482572
011780,2154212422.2222223,119600.0,0.08183856385076382,0.40645495893174677,8.342426773784421,0.46647832730033706
028670,2086800983.8814814,3850.0,0.11290629459945307,0.545836530880889,,0.5079418874424906
017800,2047282681.1111112,88300.0,0.20353725181367188,0.957901998944029,,2.009059354014733
012750,2015363810.9629629,73100.0,0.22813200130251288,0.9700512925574002,15.395875105608647,1.590031781331531
161890,1949604507.7777777,63100.0,0.2850355977322535,1.0733676227334945,,1.6465032079237496
026960,1890607407.4074075,26800.0,0.17490336680758883,5.220958864580253,16.04765761449717,1.4954528177003947
000240,1824866280.0,26150.0,0.38195492493194083,1.7710834293198858,7.024459105671815,0.5366437667917027
009970,1796262624.0,189400.0,0.3733407638096107,0.5631521240693351,4.892641060126319,0.4817550730677308
375500,1751244715.0370371,41150.0,0.10167350135316583,0.2842095000064516,,0.4655963773893445
