Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ARKB,ARK 21Shares Bitcoin ETF,ETP,40919102,"150,642",1.2%,"6,698,206",,
RKLB,Rocket Lab Corp,COMMON STOCK,773121108,"144,087",1.1%,"2,243,656",,
ILMN,Illumina Inc,COMMON STOCK,452327109,"139,217",1.1%,"1,129,459",,
NTRA,Natera Inc,COMMON STOCK,632307104,"136,844",1.1%,"684,255",,
LHX,L3Harris Technologies Inc,COMMON STOCK,502431109,"134,502",1.0%,"389,694",,
BWXT,BWX Technologies Inc,COMMON STOCK,05605H100,"127,304",1.0%,"622,546",,
AVGO,Broadcom Inc,COMMON STOCK,11135F101,"126,219",1.0%,"407,803",,
BIDU,Baidu Inc,ADR,56752108,"124,827",1.0%,"1,120,331",,
RXRX,Recursion Pharmaceuticals Inc,COMMON STOCK,75629V104,"123,453",1.0%,"40,212,769",,
AVAV,AeroVironment Inc,COMMON STOCK,8073108,"102,371",0.8%,"559,254",,
VCYT,Veracyte Inc,COMMON STOCK,92337F107,"98,363",0.8%,"3,053,818",,
BABA,Alibaba Group Holding Ltd,ADR,01609W102,"98,256",0.8%,"783,171",,
META,Meta Platforms Inc,COMMON STOCK,30303M102,"88,105",0.7%,"153,996",,
WGS,GeneDx Holdings Corp,COMMON STOCK,81663L200,"85,064",0.7%,"1,324,583",,
TRMB,Trimble Inc,COMMON STOCK,896239100,"81,402",0.6%,"1,247,925",,
FIG,Figma Inc,COMMON STOCK,316841105,"71,725",0.6%,"3,392,869",,
SOFI,SoFi Technologies Inc,COMMON STOCK,83406F102,"60,915",0.5%,"3,836,003",,
DASH,DoorDash Inc,COMMON STOCK,25809K105,"51,973",0.4%,"346,147",,
ESLT.TA,Elbit Systems Ltd,COMMON STOCK,M3760D101,"51,183",0.4%,"60,281",,
JOBY,Joby Aviation Inc,COMMON STOCK,G65163100,"50,996",0.4%,"6,173,944",,
PSNL,Personalis Inc,COMMON STOCK,71535D106,"50,603",0.4%,"7,944,112",,
LUNR,Intuitive Machines Inc,COMMON STOCK,46125A100,"49,305",0.4%,"2,656,531",,
TOST,Toast Inc,COMMON STOCK,888787108,"48,003",0.4%,"1,810,754",,
IRDM,Iridium Communications Inc,COMMON STOCK,46269C102,"47,901",0.4%,"1,726,802",,
PACB,"Pacific Biosciences of California, Inc.",COMMON STOCK,69404D108,"47,880",0.4%,"36,273,288",,
GH,Guardant Health Inc,COMMON STOCK,40131M109,"44,954",0.3%,"486,675",,
SYM,Symbotic Inc,COMMON STOCK,87151X101,"41,614",0.3%,"782,223",,
CAT,Caterpillar Inc,COMMON STOCK,149123101,"41,500",0.3%,"58,578",,
MELI,MercadoLibre Inc,COMMON STOCK,58733R102,"41,475",0.3%,"23,988",,
CRWD,Crowdstrike Holdings Inc,COMMON STOCK,22788C105,"41,331",0.3%,"105,866",,
ABSI,Absci Corp,COMMON STOCK,9.1E+110,"41,178",0.3%,"13,726,169",,
CCO.TO,Cameco Corp,COMMON STOCK,13321L108,"39,879",0.3%,"367,177",,
CDNA,CareDx Inc,COMMON STOCK,14167L103,"38,670",0.3%,"2,227,556",,
NET,Cloudflare Inc,COMMON STOCK,18915M107,"37,893",0.3%,"183,644",,
CERS,Cerus Corp,COMMON STOCK,157085101,"34,873",0.3%,"19,161,148",,
SPOT,Spotify Technology SA,COMMON STOCK,L8681T102,"32,866",0.3%,"67,778",,
ISRG,Intuitive Surgical Inc,COMMON STOCK,46120E602,"31,804",0.2%,"68,991",,
BLDE,Strata Critical Medical Inc,COMMON STOCK,92667104,"31,163",0.2%,"7,455,284",,
TDY,Teledyne Technologies Inc,COMMON STOCK,879360105,"31,118",0.2%,"51,435",,
SNPS,Synopsys Inc,COMMON STOCK,871607107,"30,160",0.2%,"76,070",,
WRD,WeRide Inc,ADR,950915108,"29,523",0.2%,"3,649,331",,
DKNG,DraftKings Inc,COMMON STOCK,26142V105,"29,254",0.2%,"1,353,109",,
